selected,technical_score,candidate_score,experience_total,academic_reliability,max_tech_skill,max_soft_skill,tech_candidate_multiplier,no_experience_flag,high_risk_flag
1,6.25,3.6666666666666665,11,12.45,10,6,22.916666666666664,0,1
0,3.0,3.8333333333333335,12,14.22,4,6,11.5,0,1
1,7.25,3.8333333333333335,14,10.74,9,10,27.791666666666668,0,1
1,6.0,5.166666666666667,5,19.11,8,6,31.0,0,0
1,4.0,5.666666666666667,7,4.94,10,9,22.666666666666668,0,1
1,6.5,5.666666666666667,10,5.48,9,10,36.833333333333336,0,1
1,5.25,4.5,9,11.23,7,9,23.625,0,0
0,4.0,6.166666666666667,15,11.379999999999999,5,10,24.666666666666668,0,0
0,5.25,5.166666666666667,5,16.44,10,9,27.125,0,0
0,7.0,6.333333333333333,10,8.61,10,9,44.33333333333333,0,0
1,4.75,4.666666666666667,13,10.64,9,8,22.166666666666668,0,0
1,5.75,5.666666666666667,11,13.280000000000001,10,10,32.583333333333336,0,0
1,5.75,5.333333333333333,9,5.15,10,10,30.666666666666664,0,1
1,6.0,4.333333333333333,13,12.21,9,10,26.0,0,0
1,5.25,4.166666666666667,13,15.2,10,9,21.875,0,0
1,4.0,5.333333333333333,9,7.76,9,6,21.333333333333332,0,1
1,3.0,5.666666666666667,14,14.120000000000001,6,9,17.0,0,0
1,7.0,7.0,14,13.68,10,8,49.0,0,1
0,7.5,3.8333333333333335,8,11.86,10,9,28.75,0,1
0,6.0,4.666666666666667,8,9.74,10,9,28.0,0,1
1,8.0,6.5,11,6.530000000000001,10,10,52.0,0,1
1,7.25,5.333333333333333,8,11.829999999999998,9,10,38.666666666666664,0,1
1,3.75,6.166666666666667,9,13.03,8,10,23.125,0,1
1,7.75,5.833333333333333,6,15.899999999999999,10,8,45.20833333333333,0,1
1,5.75,4.0,13,16.36,10,9,23.0,0,1
1,4.75,5.333333333333333,3,5.870000000000001,7,10,25.333333333333332,0,1
1,3.5,3.8333333333333335,8,12.29,5,6,13.416666666666668,0,0
1,5.25,5.333333333333333,7,7.08,8,9,28.0,0,1
1,4.5,5.333333333333333,6,19.07,10,10,24.0,0,0
1,6.0,1.1666666666666667,10,18.119999999999997,8,1,7.0,0,0
0,2.75,6.333333333333333,11,3.1500000000000004,4,10,17.416666666666664,0,1
0,4.0,4.5,11,6.32,6,6,18.0,0,1
0,7.0,4.833333333333333,10,14.8,10,9,33.83333333333333,0,0
1,3.5,3.5,8,8.379999999999999,6,6,12.25,0,1
1,4.5,4.333333333333333,6,14.9,10,6,19.5,0,0
0,7.0,4.0,12,11.19,10,9,28.0,0,1
1,3.5,4.333333333333333,15,8.94,6,9,15.166666666666666,0,1
1,3.5,6.666666666666667,10,12.86,7,9,23.333333333333336,0,1
0,5.75,4.5,8,4.1,8,6,25.875,0,1
1,4.25,5.666666666666667,12,15.32,7,8,24.083333333333336,0,0
1,5.25,5.833333333333333,11,15.3,9,9,30.625,0,1
0,5.25,6.5,11,12.559999999999999,10,10,34.125,0,0
0,4.5,4.666666666666667,8,8.6,7,10,21.0,0,1
1,5.75,4.333333333333333,10,17.47,8,9,24.916666666666664,0,0
1,4.5,5.5,19,16.11,7,9,24.75,0,0
0,4.75,6.166666666666667,14,9.89,7,10,29.291666666666668,0,1
1,7.5,5.5,13,3.88,10,6,41.25,0,1
1,7.0,5.5,12,6.54,10,6,38.5,0,0
1,4.5,6.666666666666667,9,14.91,8,9,30.0,0,0
1,3.25,5.166666666666667,15,6.93,6,6,16.791666666666668,0,1
1,3.75,3.5,3,4.57,7,9,13.125,0,1
1,4.25,3.6666666666666665,9,13.04,8,8,15.583333333333332,0,1
1,3.5,4.333333333333333,12,15.04,5,7,15.166666666666666,0,1
0,4.75,6.333333333333333,8,5.25,7,9,30.083333333333332,0,1
1,6.25,5.0,10,6.800000000000001,10,8,31.25,0,1
1,3.5,3.8333333333333335,18,15.28,10,3,13.416666666666668,0,0
1,5.25,5.166666666666667,15,10.89,10,10,27.125,0,1
0,6.25,4.333333333333333,17,12.129999999999999,10,9,27.083333333333332,0,0
1,4.25,5.5,14,7.949999999999999,6,9,23.375,0,1
1,7.0,6.5,17,10.559999999999999,9,10,45.5,0,1
1,5.0,5.166666666666667,5,15.399999999999999,10,8,25.833333333333336,0,1
0,4.0,4.333333333333333,9,15.54,8,9,17.333333333333332,0,1
0,7.25,4.666666666666667,15,8.92,10,9,33.833333333333336,0,0
0,3.25,4.833333333333333,11,11.36,9,8,15.708333333333332,0,1
1,4.25,4.166666666666667,12,15.52,9,5,17.708333333333336,0,1
1,3.25,3.5,16,9.68,6,7,11.375,0,0
1,5.5,5.0,6,17.96,8,9,27.5,0,0
0,5.0,5.0,6,15.95,10,9,25.0,0,0
1,4.25,3.5,8,8.79,10,10,14.875,0,1
0,5.25,3.5,13,18.73,8,9,18.375,0,0
1,4.5,5.166666666666667,9,5.59,7,10,23.25,0,1
1,4.0,3.0,4,11.55,6,6,12.0,0,1
1,5.75,5.166666666666667,12,11.64,10,6,29.708333333333336,0,1
0,6.25,6.666666666666667,12,11.14,7,10,41.66666666666667,0,1
1,6.75,5.333333333333333,4,10.59,9,9,36.0,0,0
1,6.5,3.3333333333333335,14,13.55,10,7,21.666666666666668,0,1
0,3.5,4.666666666666667,15,5.780000000000001,6,7,16.333333333333336,0,1
1,5.5,4.0,11,15.05,9,10,22.0,0,0
0,3.75,3.6666666666666665,9,12.84,6,9,13.75,0,1
1,5.0,5.166666666666667,16,13.36,7,9,25.833333333333336,0,1
1,4.5,4.833333333333333,8,13.6,9,8,21.75,0,0
0,6.75,3.6666666666666665,9,9.690000000000001,10,10,24.75,0,0
0,2.25,5.5,4,16.71,3,10,12.375,0,0
1,3.0,5.0,12,10.120000000000001,6,10,15.0,0,0
1,3.0,5.666666666666667,20,14.34,4,10,17.0,0,1
1,4.25,6.833333333333333,11,13.02,7,10,29.041666666666664,0,1
1,5.25,6.333333333333333,14,4.57,8,8,33.25,0,1
1,6.25,3.3333333333333335,13,16.36,10,7,20.833333333333336,0,1
1,6.75,4.333333333333333,11,16.560000000000002,9,8,29.249999999999996,0,1
1,3.5,2.6666666666666665,7,8.51,6,4,9.333333333333332,0,1
0,5.5,4.166666666666667,12,10.49,9,4,22.916666666666668,0,0
0,3.0,3.6666666666666665,8,15.75,7,8,11.0,0,0
1,3.75,5.333333333333333,18,10.67,7,9,20.0,0,1
0,6.0,5.0,11,9.18,7,9,30.0,0,0
1,6.75,5.5,17,15.3,8,6,37.125,0,1
1,5.75,3.8333333333333335,11,12.01,10,8,22.041666666666668,0,1
1,4.5,5.333333333333333,16,7.76,9,10,24.0,0,1
1,6.75,5.333333333333333,16,14.89,10,9,36.0,0,1
1,5.5,6.0,8,15.29,7,10,33.0,0,1
1,5.25,3.0,9,6.699999999999999,10,4,15.75,0,1
1,5.5,3.5,7,10.969999999999999,10,5,19.25,0,1
1,5.25,5.0,11,11.95,8,6,26.25,0,1
0,5.25,4.833333333333333,16,14.68,8,8,25.375,0,1
1,6.0,4.833333333333333,10,4.71,8,7,29.0,0,1
0,5.25,5.0,15,9.86,8,6,26.25,0,1
1,8.0,3.1666666666666665,15,11.31,10,6,25.333333333333332,0,1
1,5.25,4.0,12,7.940000000000001,9,8,21.0,0,0
1,3.5,4.666666666666667,3,15.14,7,8,16.333333333333336,0,1
0,5.25,6.166666666666667,15,10.59,8,9,32.375,0,1
1,6.0,6.0,11,11.91,9,8,36.0,0,0
0,5.5,6.5,13,9.42,9,8,35.75,0,0
1,6.5,5.333333333333333,7,10.68,8,9,34.666666666666664,0,1
0,5.25,3.3333333333333335,12,15.95,9,4,17.5,0,0
1,7.25,6.666666666666667,9,13.93,10,9,48.333333333333336,0,1
1,5.5,4.5,17,12.1,9,9,24.75,0,1
1,6.75,5.0,12,11.68,9,9,33.75,0,1
1,7.0,6.5,3,11.95,8,10,45.5,0,0
1,3.75,6.0,8,9.45,7,9,22.5,0,1
1,4.5,4.333333333333333,11,17.89,8,5,19.5,0,0
1,5.5,3.5,11,8.33,9,5,19.25,0,0
1,4.0,5.0,12,9.809999999999999,7,10,20.0,0,1
0,7.5,2.6666666666666665,10,11.629999999999999,10,5,20.0,0,1
0,5.75,4.5,11,8.98,8,8,25.875,0,1
1,5.25,5.333333333333333,9,11.120000000000001,8,6,28.0,0,1
1,4.5,4.333333333333333,3,13.95,7,9,19.5,0,0
1,3.75,5.0,10,11.93,7,7,18.75,0,1
1,7.25,5.333333333333333,16,16.18,9,9,38.666666666666664,0,0
0,6.0,4.166666666666667,10,13.190000000000001,8,5,25.0,0,0
1,9.0,3.1666666666666665,8,7.210000000000001,10,7,28.5,0,1
0,6.5,4.166666666666667,7,5.32,9,4,27.083333333333336,0,1
1,6.75,4.5,8,16.369999999999997,10,7,30.375,0,1
1,5.5,5.666666666666667,8,15.14,9,9,31.166666666666668,0,0
1,5.25,4.166666666666667,19,10.54,7,9,21.875,0,1
1,5.5,5.0,10,10.8,10,10,27.5,0,1
1,7.25,4.5,12,7.59,10,8,32.625,0,1
0,4.75,5.0,9,4.280000000000001,10,10,23.75,0,1
1,6.0,3.6666666666666665,11,7.4,9,2,22.0,0,1
0,6.25,3.8333333333333335,8,10.21,10,7,23.958333333333336,0,1
1,7.0,3.6666666666666665,10,11.219999999999999,10,5,25.666666666666664,0,1
1,6.5,6.0,7,8.99,9,10,39.0,0,1
0,4.0,2.3333333333333335,9,13.25,5,2,9.333333333333334,0,1
1,5.0,4.833333333333333,11,12.42,8,10,24.166666666666664,0,0
1,4.5,3.8333333333333335,17,13.2,10,8,17.25,0,1
0,3.0,3.5,8,11.25,5,8,10.5,0,0
1,4.75,5.5,15,10.38,9,8,26.125,0,1
1,7.5,6.333333333333333,12,15.990000000000002,9,10,47.5,0,0
1,3.75,4.666666666666667,18,7.1899999999999995,8,10,17.5,0,1
1,4.5,4.166666666666667,8,13.65,5,8,18.75,0,0
0,6.75,3.6666666666666665,12,14.21,8,7,24.75,0,0
0,4.25,4.666666666666667,9,10.17,6,9,19.833333333333336,0,1
1,4.5,4.5,11,8.559999999999999,8,9,20.25,0,0
1,4.75,6.0,14,10.74,7,10,28.5,0,0
1,4.5,4.833333333333333,12,7.779999999999999,8,9,21.75,0,1
1,5.25,5.166666666666667,17,7.800000000000001,9,8,27.125,0,1
0,6.0,5.0,8,5.26,8,8,30.0,0,1
0,6.25,2.3333333333333335,9,15.07,9,6,14.583333333333334,0,0
1,5.75,6.5,13,8.530000000000001,10,9,37.375,0,1
1,6.0,7.0,9,8.3,8,10,42.0,0,1
1,5.5,4.5,3,15.240000000000002,8,7,24.75,0,1
1,4.75,4.0,12,8.96,9,8,19.0,0,0
1,6.0,5.166666666666667,13,19.259999999999998,8,10,31.0,0,0
0,3.0,6.5,16,4.870000000000001,7,10,19.5,0,1
1,7.0,4.0,13,9.06,10,10,28.0,0,1
1,6.75,8.0,18,12.940000000000001,10,10,54.0,0,1
1,5.5,4.166666666666667,11,10.379999999999999,7,8,22.916666666666668,0,0
1,5.0,4.833333333333333,7,14.23,9,9,24.166666666666664,0,1
1,2.75,5.5,15,9.75,5,10,15.125,0,1
1,5.25,6.333333333333333,9,10.0,9,9,33.25,0,1
0,6.0,3.1666666666666665,12,12.04,10,4,19.0,0,0
0,5.75,6.0,13,12.84,10,10,34.5,0,1
1,5.5,2.5,11,7.469999999999999,8,6,13.75,0,1
1,6.0,5.5,14,15.09,10,10,33.0,0,0
1,7.75,5.5,12,12.83,9,10,42.625,0,0
1,2.75,4.166666666666667,10,5.22,5,7,11.458333333333334,0,1
1,3.75,3.5,11,19.619999999999997,6,7,13.125,0,0
1,7.0,2.5,10,6.469999999999999,10,3,17.5,0,1
1,5.0,4.5,10,15.96,10,7,22.5,0,1
1,4.75,4.333333333333333,17,10.66,9,8,20.583333333333332,0,0
1,8.5,3.8333333333333335,12,14.219999999999999,10,9,32.583333333333336,0,1
0,6.75,3.6666666666666665,10,14.759999999999998,9,7,24.75,0,1
0,6.0,6.166666666666667,11,9.879999999999999,9,8,37.0,0,1
1,4.25,4.166666666666667,17,7.210000000000001,7,5,17.708333333333336,0,1
1,5.0,4.833333333333333,9,3.9800000000000004,6,10,24.166666666666664,0,1
1,4.75,4.666666666666667,11,12.61,6,10,22.166666666666668,0,0
1,5.75,3.3333333333333335,11,6.4,9,5,19.166666666666668,0,1
1,5.75,4.833333333333333,7,12.620000000000001,10,5,27.791666666666664,0,1
1,3.75,5.166666666666667,13,7.98,9,10,19.375,0,1
1,4.25,3.8333333333333335,11,6.390000000000001,9,7,16.291666666666668,0,1
1,4.0,6.0,8,11.2,6,10,24.0,0,1
0,5.75,6.5,4,6.52,10,9,37.375,0,1
0,4.75,4.5,6,19.57,9,8,21.375,0,0
1,5.0,4.666666666666667,10,3.8499999999999996,7,10,23.333333333333336,0,1
1,5.75,4.0,12,6.58,9,6,23.0,0,1
0,5.75,5.166666666666667,9,7.140000000000001,8,10,29.708333333333336,0,1
1,4.0,2.8333333333333335,13,9.89,10,3,11.333333333333334,0,1
1,5.25,6.0,19,15.08,6,10,31.5,0,0
1,4.75,3.3333333333333335,14,13.82,10,7,15.833333333333334,0,1
1,6.75,4.666666666666667,15,17.77,8,8,31.500000000000004,0,0
1,5.25,4.0,12,7.469999999999999,8,4,21.0,0,1
1,4.75,4.666666666666667,13,13.93,8,7,22.166666666666668,0,1
1,5.25,4.0,9,12.76,8,8,21.0,0,0
1,7.5,6.833333333333333,7,6.08,10,10,51.25,0,1
1,3.25,6.833333333333333,14,11.1,5,10,22.208333333333332,0,0
1,5.0,5.666666666666667,7,13.280000000000001,9,9,28.333333333333336,0,0
1,6.75,4.5,5,16.18,9,8,30.375,0,0
1,5.25,4.0,16,9.23,10,5,21.0,0,1
1,6.0,5.166666666666667,7,15.350000000000001,8,10,31.0,0,1
1,3.75,4.333333333333333,9,7.24,7,8,16.25,0,0
1,4.0,3.8333333333333335,13,9.83,7,6,15.333333333333334,0,1
1,7.0,4.833333333333333,11,14.7,10,9,33.83333333333333,0,0
0,5.75,3.5,15,7.449999999999999,10,7,20.125,0,1
1,3.5,4.833333333333333,7,9.34,5,9,16.916666666666664,0,1
1,6.25,5.5,13,14.89,10,9,34.375,0,1
1,5.5,4.666666666666667,16,15.45,8,9,25.666666666666668,0,1
0,5.0,5.0,6,13.240000000000002,7,10,25.0,0,1
1,6.75,4.166666666666667,13,13.51,9,8,28.125000000000004,0,1
1,4.0,4.5,9,12.55,7,8,18.0,0,1
1,6.75,5.833333333333333,14,12.469999999999999,10,10,39.375,0,1
1,5.25,4.5,17,15.8,10,7,23.625,0,0
1,2.75,5.333333333333333,9,11.05,7,9,14.666666666666666,0,1
1,6.0,6.5,12,17.09,7,9,39.0,0,1
1,3.75,6.166666666666667,18,9.57,8,10,23.125,0,1
0,6.25,3.8333333333333335,10,9.059999999999999,9,9,23.958333333333336,0,0
1,5.0,6.666666666666667,16,8.26,8,10,33.333333333333336,0,1
1,7.0,7.166666666666667,12,16.740000000000002,10,10,50.16666666666667,0,1
1,4.0,6.0,13,14.75,7,9,24.0,0,1
0,4.0,3.8333333333333335,5,18.259999999999998,6,7,15.333333333333334,0,0
1,5.25,4.833333333333333,11,9.48,10,10,25.375,0,1
1,2.5,4.666666666666667,11,10.45,4,9,11.666666666666668,0,1
1,5.75,4.166666666666667,14,14.190000000000001,9,9,23.958333333333336,0,0
0,6.5,4.833333333333333,16,7.629999999999999,10,9,31.416666666666664,0,1
1,7.5,7.0,13,14.969999999999999,10,10,52.5,0,0
0,4.5,6.333333333333333,9,9.39,7,7,28.5,0,1
1,4.75,2.6666666666666665,9,13.93,6,3,12.666666666666666,0,0
0,4.5,3.5,12,7.58,8,7,15.75,0,0
1,7.0,5.833333333333333,15,14.46,9,9,40.83333333333333,0,1
0,8.5,3.5,4,10.93,10,10,29.75,0,0
1,8.0,5.666666666666667,13,11.7,10,9,45.333333333333336,0,0
1,3.25,7.166666666666667,6,12.9,9,9,23.291666666666668,0,0
1,6.0,5.666666666666667,7,10.940000000000001,9,8,34.0,0,1
1,4.75,6.166666666666667,15,13.36,8,10,29.291666666666668,0,0
0,5.75,5.833333333333333,13,12.3,9,10,33.541666666666664,0,1
0,2.75,3.1666666666666665,17,6.140000000000001,6,6,8.708333333333332,0,1
1,6.75,4.666666666666667,4,9.61,10,8,31.500000000000004,0,1
0,4.0,4.833333333333333,10,10.35,8,7,19.333333333333332,0,0
0,2.75,3.6666666666666665,15,14.329999999999998,5,8,10.083333333333332,0,1
0,5.75,3.1666666666666665,17,12.86,8,6,18.208333333333332,0,1
1,7.25,6.833333333333333,8,11.18,8,9,49.541666666666664,0,0
1,4.0,2.0,13,11.01,7,5,8.0,0,0
1,6.5,3.5,13,11.41,10,8,22.75,0,1
1,3.25,3.8333333333333335,8,13.2,7,5,12.458333333333334,0,0
1,5.5,4.333333333333333,3,13.94,8,10,23.833333333333332,0,1
1,4.25,4.5,10,11.88,8,10,19.125,0,1
1,4.25,4.0,12,19.880000000000003,9,9,17.0,0,0
1,6.0,4.833333333333333,10,12.33,9,6,29.0,0,1
0,6.0,5.666666666666667,19,3.1100000000000003,8,10,34.0,0,1
0,3.5,4.666666666666667,10,16.48,10,8,16.333333333333336,0,1
1,6.5,3.1666666666666665,12,6.85,10,6,20.583333333333332,0,1
0,6.25,4.666666666666667,10,16.94,10,9,29.166666666666668,0,0
1,5.25,3.8333333333333335,17,11.89,8,9,20.125,0,0
1,4.5,5.0,17,10.629999999999999,9,9,22.5,0,0
1,7.25,3.8333333333333335,11,14.31,9,4,27.791666666666668,0,0
1,6.5,5.333333333333333,19,18.93,9,7,34.666666666666664,0,0
1,8.75,3.6666666666666665,19,10.98,10,7,32.08333333333333,0,1
1,6.25,4.5,10,10.04,8,6,28.125,0,0
0,6.0,3.1666666666666665,3,8.870000000000001,10,7,19.0,0,1
0,4.0,3.1666666666666665,9,14.280000000000001,8,7,12.666666666666666,0,0
1,6.0,4.666666666666667,6,11.75,9,9,28.0,0,1
1,3.75,4.0,6,14.5,7,8,15.0,0,1
1,3.5,2.0,15,9.07,7,5,7.0,0,1
1,8.0,2.5,14,10.8,10,1,20.0,0,0
1,3.5,7.166666666666667,9,6.65,5,10,25.083333333333336,0,0
1,7.5,3.5,11,7.77,10,8,26.25,0,1
1,5.25,3.8333333333333335,18,14.939999999999998,10,9,20.125,0,1
1,6.75,5.333333333333333,11,11.02,9,7,36.0,0,1
0,3.0,4.333333333333333,11,7.5600000000000005,6,8,13.0,0,1
1,5.25,6.166666666666667,14,17.85,8,8,32.375,0,0
1,5.25,2.5,10,3.99,8,3,13.125,0,1
0,5.25,2.6666666666666665,8,7.280000000000001,6,4,14.0,0,1
1,3.75,4.666666666666667,12,6.289999999999999,7,10,17.5,0,1
1,4.75,4.5,6,11.07,8,7,21.375,0,1
1,4.0,4.666666666666667,8,9.08,8,10,18.666666666666668,0,0
1,6.75,5.666666666666667,11,1.9800000000000004,10,9,38.25,0,1
1,6.75,4.166666666666667,13,10.95,10,6,28.125000000000004,0,1
0,4.25,3.1666666666666665,14,12.03,9,7,13.458333333333332,0,1
0,5.0,5.5,8,18.27,9,9,27.5,0,0
1,5.5,3.6666666666666665,12,8.870000000000001,8,8,20.166666666666664,0,1
1,5.75,5.333333333333333,11,11.24,10,8,30.666666666666664,0,1
0,6.5,6.333333333333333,8,13.21,10,9,41.166666666666664,0,1
1,6.0,5.5,11,18.12,9,10,33.0,0,0
0,5.75,4.5,10,2.37,10,8,25.875,0,1
0,9.25,2.1666666666666665,8,12.67,10,4,20.041666666666664,0,0
1,6.5,3.8333333333333335,13,8.74,10,9,24.916666666666668,0,1
1,5.5,4.0,16,10.83,9,7,22.0,0,1
1,5.25,4.5,12,7.18,8,8,23.625,0,1
1,6.25,5.166666666666667,9,10.23,10,6,32.29166666666667,0,0
1,7.0,5.833333333333333,12,11.370000000000001,10,9,40.83333333333333,0,0
0,6.75,3.5,16,6.880000000000001,10,6,23.625,0,1
1,5.5,4.0,7,12.02,10,9,22.0,0,1
1,6.75,3.3333333333333335,10,13.03,9,6,22.5,0,0
1,3.25,5.666666666666667,14,12.04,6,9,18.416666666666668,0,0
1,6.25,5.333333333333333,8,7.059999999999999,10,10,33.33333333333333,0,1
0,4.5,3.6666666666666665,14,15.1,6,4,16.5,0,0
1,4.75,5.833333333333333,15,15.46,9,10,27.708333333333332,0,0
1,6.0,6.0,3,7.629999999999999,9,8,36.0,0,1
1,7.25,3.8333333333333335,8,14.68,10,10,27.791666666666668,0,1
1,4.5,3.1666666666666665,17,16.7,10,6,14.25,0,1
1,4.25,6.0,18,14.629999999999999,7,7,25.5,0,1
0,3.5,3.6666666666666665,11,6.690000000000001,7,3,12.833333333333332,0,1
1,6.0,3.5,10,17.72,10,6,21.0,0,0
1,3.5,5.166666666666667,8,7.789999999999999,7,5,18.083333333333336,0,1
1,5.0,4.833333333333333,15,14.23,9,6,24.166666666666664,0,1
0,4.0,5.0,8,18.46,10,8,20.0,0,1
1,6.75,4.333333333333333,12,8.68,9,8,29.249999999999996,0,0
1,6.5,5.333333333333333,11,10.81,9,10,34.666666666666664,0,1
0,4.75,5.666666666666667,5,16.03,6,5,26.916666666666668,0,1
1,3.5,4.166666666666667,12,10.48,6,9,14.583333333333334,0,1
0,5.75,4.333333333333333,15,12.85,10,7,24.916666666666664,0,1
0,6.25,4.833333333333333,10,6.25,9,9,30.208333333333332,0,1
1,5.5,3.3333333333333335,15,3.59,7,5,18.333333333333336,0,1
1,6.25,3.8333333333333335,11,6.219999999999999,10,5,23.958333333333336,0,1
1,5.0,3.5,12,8.42,10,8,17.5,0,1
1,5.25,3.1666666666666665,7,12.11,10,8,16.625,0,0
1,4.5,3.6666666666666665,12,11.34,7,6,16.5,0,1
0,6.25,3.1666666666666665,12,7.970000000000001,10,7,19.791666666666664,0,1
1,5.25,5.666666666666667,11,9.620000000000001,9,10,29.75,0,1
1,5.5,5.333333333333333,9,20.07,10,8,29.333333333333332,0,0
1,6.0,4.166666666666667,7,7.16,8,6,25.0,0,1
1,3.75,4.333333333333333,8,2.34,9,8,16.25,0,1
1,5.0,4.833333333333333,17,15.23,8,7,24.166666666666664,0,0
0,3.25,5.5,13,10.64,6,10,17.875,0,1
0,5.5,5.5,6,13.14,7,5,30.25,0,0
0,7.5,4.5,13,10.18,9,8,33.75,0,1
0,6.25,3.6666666666666665,16,11.52,9,4,22.916666666666664,0,1
1,7.5,4.333333333333333,10,15.66,10,10,32.5,0,0
1,5.0,4.0,16,12.64,10,9,20.0,0,1
1,3.0,3.6666666666666665,12,16.5,7,8,11.0,0,0
1,8.0,6.166666666666667,15,15.530000000000001,10,8,49.333333333333336,0,1
0,4.0,5.0,9,10.2,7,9,20.0,0,1
1,4.5,4.666666666666667,8,10.809999999999999,7,10,21.0,0,1
0,6.25,4.833333333333333,13,7.859999999999999,10,8,30.208333333333332,0,1
0,6.0,4.0,11,7.130000000000001,8,9,24.0,0,1
1,5.5,6.0,7,9.45,9,10,33.0,0,0
1,6.0,4.166666666666667,10,12.399999999999999,10,10,25.0,0,1
0,6.25,6.0,12,10.04,10,9,37.5,0,1
0,5.75,5.833333333333333,10,15.39,9,10,33.541666666666664,0,0
1,5.5,2.8333333333333335,16,9.5,10,9,15.583333333333334,0,1
1,4.0,3.3333333333333335,11,6.77,8,5,13.333333333333334,0,1
1,5.25,5.833333333333333,8,11.02,8,10,30.625,0,0
1,5.75,6.0,9,16.759999999999998,8,9,34.5,0,0
1,4.0,5.5,7,12.030000000000001,6,9,22.0,0,1
1,6.0,4.833333333333333,12,6.630000000000001,9,7,29.0,0,1
0,5.5,7.0,10,12.35,7,10,38.5,0,0
1,4.5,5.166666666666667,15,12.73,8,10,23.25,0,1
1,6.25,4.333333333333333,11,8.2,9,8,27.083333333333332,0,0
1,5.75,6.0,10,10.8,10,7,34.5,0,0
1,4.5,3.1666666666666665,14,6.279999999999999,10,10,14.25,0,1
1,3.0,4.166666666666667,10,10.46,7,8,12.5,0,1
1,4.25,5.666666666666667,17,9.6,8,6,24.083333333333336,0,1
0,6.0,5.333333333333333,13,12.25,9,10,32.0,0,0
1,9.25,3.8333333333333335,17,9.75,10,2,35.458333333333336,0,1
